family,order,occurrence_count,individual_count
Adapisoricidae,Erinaceomorpha,1702,1209
Adapisoriculidae,Carnivora,47,2
Addisoniidae,Lepetellida,141,150
Adelanthaceae,Jungermanniales,23313,3908
Adeleidae,Eucoccidiorida,656,
Adelgidae,Hemiptera,16830,51213
Adelidae,Lepidoptera,126810,315858
Adeliellidae,Amphipoda,74,52
Adeloblattidae,Blattodea,19,9
Adelococcaceae,Verrucariales,468,6
Adeloneuridae,Protorthoptera,3,2
Adelphacaridae,Sarcoptiformes,99,298
Adelphomyidae,Rodentia,3,
Ademosynidae,Protocoleoptera,71,
Adenocystaceae,Ectocarpales,1674,125
Adenopleurellidae,Harpacticoida,5,23
Adenoviridae,Rowavirales,6497,
Adeonidae,Cheilostomatida,7993,12415
Adercotrymidae,Lituolida,375,443
Aderidae,Coleoptera,21580,26471
Adhaesozetidae,Sarcoptiformes,8,2
Adiantaceae,Polypodiales,130,11
Adinetidae,Bdelloidea,1019,783
Adintoviridae,Orthopolintovirales,5,
Adiutricaceae,Adiutricales,1,
Admiratellidae,Fenestrida,6,
Adorybiotidae,Parachela,76,21
Adoxaceae,Dipsacales,989,22
Adrianichthyidae,Beloniformes,21190,14002
Adrianitidae,Goniatitida,677,98
Adritylidae,Chordeumatida,5,4
Adumbratomorphidae,Orthoptera,1,
Adygeitidae,Ceratitida,1,
Aechminellidae,Palaeocopida,71,134
Aechminidae,Palaeocopida,633,609
Aegeridae,Decapoda,354,152
Aegialiidae,Coleoptera,41,51
Aegialoalaimidae,Plectida,322,128
Aegialornithidae,Apodiformes,17,4
Aegidae,Isopoda,5113,4091
Aeginidae,Narcomedusae,850,812
Aegiridae,Nudibranchia,4231,505
Aegisthidae,Harpacticoida,1484,1138
Aegithalidae,Passeriformes,5076063,26541017
Aegithinidae,Passeriformes,398500,772545
Aeglidae,Decapoda,5504,6919
Aegothelidae,Apodiformes,78495,42858
Aegyptonycteridae,Chiroptera,1,
Aeminiaceae,Capnodiales,1,
Aenictopecheidae,Hemiptera,183,16
Aenigmachannidae,Perciformes,10,1
Aenigmatarchaeaceae,Aenigmatarchaeales,2,
Aenigmatidiidae,Diaphanopterodea,1,
Aenigmatineidae,Lepidoptera,15,19
Aenigmephemeridae,Ephemeroptera,1,
Aeolidiidae,Nudibranchia,15021,8516
Aeolothripidae,Thysanoptera,17050,8736
Aephnidiogenidae,Plagiorchiida,258,124
Aepophilidae,Hemiptera,56,62
Aepyornithidae,Struthioniformes,376,156
Aequoreidae,Leptothecata,6189,21943
Aeribacillaceae,Bacillales,252,15
Aerococcaceae,Lactobacillales,8568,3
Aeroglyphidae,Sarcoptiformes,87,47
Aeromonadaceae,Enterobacterales,34886,19
Aerophobaceae,Aerophobales,1,
Aeropidae,Spatangoida,1,
Aeropsidae,Spatangoida,352,312
Aerosakkonemataceae,Cyanobacteriales,418,34
Aeschnidiidae,Odonata,107,7
Aeshnidae,Odonata,1924278,1722781
Aestuariirhabdaceae,Pseudomonadales,8,
Aestuariivirgaceae,Rhizobiales,24838,4811
Aetalionidae,Hemiptera,2003,653
Aeteidae,Cheilostomatida,2480,552
Aetheogrammatidae,Neuroptera,6,
Aetholaimidae,Dorylaimida,6,12
